step,phase,cube_x,cube_y,cube_z,tcp_x,tcp_y,tcp_z,wrist_x,wrist_y,wrist_z,xy_dist,tcp_minus_cube_z,hover_z,grasp_z,hover_z_error,grasp_z_error,finger_pos,is_closed,close_too_high,ori_error_rad,tcp_qw,tcp_qx,tcp_qy,tcp_qz,a0,a1,a2,a3,a4,a5,a6
32,DESCENDING_OPEN,0.5225897431373596,-0.2449548989534378,0.020999936386942863,0.5228205919265747,-0.24490350484848022,0.09096920490264893,0.5167573690414429,-0.24525128304958344,0.270866721868515,0.0002365005639148876,0.06996926665306091,0.20099993638694286,0.05599993638694287,-0.11003073148429393,0.03496926851570606,0.025637490674853325,0,0,1.747050404548645,0.01353222131729126,-0.6421281099319458,0.7664116621017456,-0.010077357292175293,-0.16169756650924683,-0.32769975066185,0.34606754779815674,-0.7713713049888611,-0.5238182544708252,-0.7429002523422241,2.5643866062164307
33,DESCENDING_OPEN,0.5225897431373596,-0.2449548989534378,0.020999925211071968,0.5238441228866577,-0.24545951187610626,0.09115520119667053,0.5173500180244446,-0.2450418621301651,0.2710374891757965,0.0013520735083147883,0.07015527784824371,0.20099992521107196,0.05599992521107197,-0.10984472401440143,0.03515527598559856,0.045476097613573074,0,0,1.7490777969360352,0.013096928596496582,-0.6413507461547852,0.7670347094535828,-0.012463390827178955,0.15088151395320892,0.4057612121105194,-0.3221719264984131,-0.6643653512001038,-0.1175098642706871,0.424378365278244,-1.2612165212631226
34,DESCENDING_OPEN,0.5225897431373596,-0.2449548989534378,0.02099989540874958,0.5230621099472046,-0.24492548406124115,0.09099376201629639,0.5168699026107788,-0.24493224918842316,0.27088719606399536,0.0004732817760668695,0.06999386847019196,0.20099989540874957,0.055999895408749584,-0.11000613339245319,0.0349938666075468,0.025957390666007996,0,0,1.747031569480896,0.013198494911193848,-0.6421353220939636,0.7663981914520264,-0.011033952236175537,-0.1721707284450531,-0.3252244293689728,0.34462323784828186,-0.7698931097984314,-0.5217435956001282,-0.7418847680091858,2.5720207691192627
35,DESCENDING_OPEN,0.5225897431373596,-0.2449548840522766,0.020999928936362267,0.5240211486816406,-0.24547146260738373,0.09117200970649719,0.5174029469490051,-0.24471434950828552,0.2710486948490143,0.0015217672334983945,0.07017207890748978,0.20099992893636226,0.05599992893636227,-0.10982791922986507,0.03517208077013492,0.045795150101184845,0,0,1.7491090297698975,0.012756705284118652,-0.6413387060165405,0.7670345902442932,-0.013408064842224121,0.15233321487903595,0.4017386734485626,-0.3226480484008789,-0.6609360575675964,-0.11679424345493317,0.4254087507724762,-1.2557954788208008
36,DESCENDING_OPEN,0.5225897431373596,-0.2449548840522766,0.020999958738684654,0.5231927633285522,-0.2449324131011963,0.0910000205039978,0.5168777704238892,-0.24460239708423615,0.27088892459869385,0.0006034387042745948,0.070000059902668,0.20099995873868465,0.05599995873868466,-0.10999993823468684,0.035000061765313145,0.026267612352967262,0,0,1.7470802068710327,0.01285940408706665,-0.6421167254447937,0.7664055824279785,-0.011970102787017822,-0.17803947627544403,-0.3237287700176239,0.34422779083251953,-0.7687733769416809,-0.5199628472328186,-0.7413602471351624,2.5793352127075195
37,DESCENDING_OPEN,0.5225897431373596,-0.2449548989534378,0.02099994756281376,0.5241131782531738,-0.2454724907875061,0.09117236733436584,0.517376720905304,-0.2443806678056717,0.27104294300079346,0.0016089610289782286,0.07017242163419724,0.20099994756281375,0.05599994756281376,-0.10982758022844791,0.03517241977155208,0.04610469564795494,0,0,1.7491885423660278,0.012412846088409424,-0.6413082480430603,0.7670490145683289,-0.014331936836242676,0.15356364846229553,0.39867448806762695,-0.32230809330940247,-0.6586365103721619,-0.1158892884850502,0.4257296025753021,-1.2500938177108765
38,DESCENDING_OPEN,0.5225897431373596,-0.2449548989534378,0.02099992148578167,0.5232585072517395,-0.24493259191513062,0.09099364280700684,0.5168265700340271,-0.2442699819803238,0.2708774507045746,0.0006691360613331199,0.06999371945858002,0.20099992148578166,0.05599992148578167,-0.11000627867877483,0.03499372132122516,0.026568703353405,0,0,1.7471719980239868,0.012515604496002197,-0.6420814990997314,0.7664258480072021,-0.012886583805084229,-0.18135525286197662,-0.32257652282714844,0.3441738486289978,-0.7676970362663269,-0.5183730125427246,-0.7410534024238586,2.5864124298095703
39,DESCENDING_OPEN,0.5225897431373596,-0.2449548989534378,0.020999910309910774,0.5241574645042419,-0.24547050893306732,0.09116342663764954,0.5173071622848511,-0.244047150015831,0.27102741599082947,0.001650334452278912,0.07016351819038391,0.20099991030991077,0.05599991030991078,-0.10983648367226123,0.03516351632773876,0.046405188739299774,0,0,1.7492984533309937,0.012065529823303223,-0.6412660479545593,0.7670723795890808,-0.015241026878356934,0.15446574985980988,0.39636334776878357,-0.32203373312950134,-0.6569988131523132,-0.11484779417514801,0.4256880581378937,-1.2442055940628052
40,DESCENDING_OPEN,0.5225897431373596,-0.2449548989534378,0.020999958738684654,0.5232884287834167,-0.24493084847927094,0.09097945690155029,0.5167436599731445,-0.24393822252750397,0.2708576023578644,0.0006990994443185627,0.06997949630022049,0.20099995873868465,0.05599995873868466,-0.11002050183713435,0.034979498162865635,0.026861269026994705,0,0,1.7472889423370361,0.012167930603027344,-0.6420366764068604,0.7664531469345093,-0.01379019021987915,-0.183210089802742,-0.321501225233078,0.3441522717475891,-0.7665907740592957,-0.516944169998169,-0.7408159375190735,2.5932600498199463
41,DESCENDING_OPEN,0.5225897431373596,-0.2449548989534378,0.020999928936362267,0.5241753458976746,-0.24546851217746735,0.09114894270896912,0.5172144770622253,-0.24371564388275146,0.27100569009780884,0.0016667137388139963,0.0701490119099617,0.20099992893636226,0.05599992893636227,-0.10985098622739314,0.035149013772606846,0.04669724032282829,0,0,1.7494275569915771,0.01171499490737915,-0.641216516494751,0.7671006917953491,-0.016139864921569824,0.15509557723999023,0.3945057690143585,-0.32171177864074707,-0.6557784676551819,-0.11376473307609558,0.4254169166088104,-1.238294243812561
